label,text,pred,probability
1,Please review and advise the numbers as per Enron's records.,1,"tensor([[0.0000, 3.8077]], device='cuda:0')"
0,"On being asked about the fact that she broke the Guinness World Records title for the fastest time to reach 1 million followers, in 5 hours and 16 minutes the 'Mac and me' actor replied, ""That's crazy, this thing, huh?"" reported, 'The Hollywood reporter'.",0,"tensor([[4.3719, 0.0000]], device='cuda:0')"
0,"Tech companies, and Facebook in particular, have come under intense pressure in the US and Europe in recent years over whether Russians had spread disinformation across the platforms to influence the 2016 US presidential election and the UK's Brexit vote.",0,"tensor([[3.7612, 0.0000]], device='cuda:0')"
1,Let's discuss this to figure out the best gameplan for crossing some of these off the list.,1,"tensor([[0.0000, 4.1217]], device='cuda:0')"
1,"Lucy, please email the answers.",1,"tensor([[0.0000, 3.7149]], device='cuda:0')"
0,"Also, with Bangladesh Prime Minister Sheikh Hasina set to witness the first day's proceedings, it is expected to be a carnival at the Eden.",0,"tensor([[4.2410, 0.0000]], device='cuda:0')"
0,We are investigating if others are involved too.,0,"tensor([[3.8307, 0.0000]], device='cuda:0')"
1,Please prepare business presentations and reports for customers.,1,"tensor([[0.0000, 3.9753]], device='cuda:0')"
1,Work with Kim Melodick in HR to get me the updates daily,1,"tensor([[0.0000, 3.9012]], device='cuda:0')"
0,"Besides, a strengthening greenback against other overseas currencies also kept investors on the edge, forex dealers said.",0,"tensor([[3.6962, 0.0000]], device='cuda:0')"
1,Please ensure that the method used for measuring particulate matter can have significant impact on the particulate level determined.,1,"tensor([[0.0000, 3.8418]], device='cuda:0')"
0,The comedian began his segment by saying that rapper Kanye West was transforming into an old white woman.,0,"tensor([[3.6823, 0.0000]], device='cuda:0')"
0,"Indeed, if the debt owed by telcos to the government is added, the figure could runs into lakhs of crores; while companies like RCom and Aircel are already in the insolvency courts, many believe Vodafone-Idea is running out of funds to sustain operations.",0,"tensor([[3.8897, 0.0000]], device='cuda:0')"
1,Get the Chicago recruiter to add to schedule.,1,"tensor([[0.1183, 4.0610]], device='cuda:0')"
1,please keep the spreadsheet updated while I'm out because I need to work on it once I am bak.,1,"tensor([[0.0000, 4.1698]], device='cuda:0')"
1,"I want you to join us for the Peninsula Environmental Forum on Tuesday, May 22 at p.m.",1,"tensor([[0.5190, 2.5350]], device='cuda:0')"
0,FHRAI said it would be helping the CCI investigation with supporting material from across the country.,0,"tensor([[3.6724, 0.0000]], device='cuda:0')"
1,"Be ready with the answers for the cities you're interested in, how long you want to track them, so we can schedule it accordingly.",1,"tensor([[0.0000, 3.6008]], device='cuda:0')"
1,Coordinate with team on design and prototype of new interfaces.,1,"tensor([[0.0000, 4.0547]], device='cuda:0')"
0,"Many have have advocated for the free flow of data across borders, as it provides various benefits, increasing consumer surplus through dynamic pricing mechanisms; maintaining availability and quality of service; promoting innovation in the provisioning of digital goods and services; ensuring ease of doing business; and preventing and detecting fraud.",0,"tensor([[3.7782, 0.0000]], device='cuda:0')"
0,"For me, this is 1980 vintage China or India of the 1990s where India really took on the world map.",0,"tensor([[3.7298, 0.0000]], device='cuda:0')"
1,please notify me and Lisa Cousino immediately once you start getting results.,1,"tensor([[0.0000, 3.9202]], device='cuda:0')"
0,"Sometimes change is the best,"" the former Proteas coach said.",0,"tensor([[3.7257, 0.0000]], device='cuda:0')"
0,There had been always choices that could be made.,0,"tensor([[3.9784, 0.0000]], device='cuda:0')"
1,negotiate directly with tribes and state governments in the west for addtional gas supplies.,1,"tensor([[0.0703, 3.6644]], device='cuda:0')"
1,Let me know what you guys can dig up.,1,"tensor([[0.0000, 3.7021]], device='cuda:0')"
1,Let me know whether the form of this document is acceptable to MEH.,1,"tensor([[0.0000, 4.3935]], device='cuda:0')"
1,please review it and let me know the changes you would like to make.,1,"tensor([[0.0000, 4.0664]], device='cuda:0')"
0,"We have also received reports of armed groups operating in Kashmir threatening residents trying to carry out their normal business or attend school, as well as several allegations of violence against people who have not complied with the armed groups' demands, Colville said.",0,"tensor([[4.0891, 0.0000]], device='cuda:0')"
0,"Okay, that is still steep, but still lower than double digit.",0,"tensor([[3.5961, 0.0000]], device='cuda:0')"
1,Go through the list of requests to determine which are in scope for this project and which fall out of scope.,1,"tensor([[0.0000, 4.2354]], device='cuda:0')"
0,Shah will have to thank Pakistan's head coach and chief selector Misbah-ul-Haq for scouting him despite the fact that he has played just five first-class matches since making his debut for Lahore last September.,0,"tensor([[4.2036, 0.1841]], device='cuda:0')"
1,"Pease give us the GMS deal number,and if you know the riskworks deal number.",1,"tensor([[0.0000, 3.7919]], device='cuda:0')"
0,* The Indian Railway Catering and Tourism Corporation Limited website (www.irctc.co.in ) is one of the largest and most visited e-commerce sites in India.,0,"tensor([[4.0596, 0.0000]], device='cuda:0')"
0,The party leadership in the state has changed after Shivakumar's arrest and Siddaramiah's appointment as the opposition leader.,0,"tensor([[4.8369, 0.0000]], device='cuda:0')"
1,Please email me back to confirm receipt.,1,"tensor([[0.0000, 4.0486]], device='cuda:0')"
0,"Venue: Stamford Bridge, London.",0,"tensor([[3.2321, 0.0000]], device='cuda:0')"
1,Delete with one simple keystroke and continue the same for the entire project.,1,"tensor([[0.0000, 4.0562]], device='cuda:0')"
1,"Sara, please copy Keegan on the schedule so she can put the meetings on my calendar.",1,"tensor([[0.0000, 4.2070]], device='cuda:0')"
1,Get us all the detailed reports and component VAR reports that you can produce,1,"tensor([[0.0000, 4.3376]], device='cuda:0')"
1,"Heather, please check the sections you noticed before and see if they are okay this time.",1,"tensor([[0.0000, 4.0664]], device='cuda:0')"
0,"The India House, he said, would offer complete support to Indian athletes like food, transport and provision of accommodation.",0,"tensor([[4.2130, 0.0000]], device='cuda:0')"
1,"Chris, Please call me once you have looked at these questions and let me know what additional questions we should ask Dominion.",1,"tensor([[0.0000, 4.1100]], device='cuda:0')"
0,"The 60 detainees rounded up from the city's eastern suburbs comprised 29 men, 22 women and nine children, police said.",0,"tensor([[4.0368, 0.0000]], device='cuda:0')"
0,"Ian Blackford, the SNP leader in the Commons, said his party would need a ""cast-iron guarantee"" that the Prime Minister would not try to bring back his Brexit deal to Parliament.",0,"tensor([[3.5913, 0.0000]], device='cuda:0')"
1,Plan to meld together AB with Hertzberg's new bill.,1,"tensor([[0.0000, 3.6915]], device='cuda:0')"
1,"Phillip, please approve Mike Grigsby for Bloomberg.",1,"tensor([[0.0000, 4.3192]], device='cuda:0')"
0,Virgo: Life changes for the better in this karmic cycle.,0,"tensor([[3.9987, 0.0000]], device='cuda:0')"
0,"While his family members and friend have alleged that he was beaten to death in police custody, the police have claimed that he was not assaulted and died while he was Doctors who conducted the postmortem at JJ Hospital, reserved their opinion on the cause of death.",0,"tensor([[4.2034, 0.0000]], device='cuda:0')"
1,Let me know what time is most suited to your schedule.,1,"tensor([[0.0000, 4.0577]], device='cuda:0')"
1,"Please check them out and get back to me as soon as possible with deal numbers, so we can start the work here.",1,"tensor([[0.0000, 3.8956]], device='cuda:0')"
1,"Please confirm your availability to participate in the two and half week orientation via email to Tracy Arthur by Friday, December 22, 2000.",1,"tensor([[0.0000, 4.3743]], device='cuda:0')"
0,The BCB respects the ICC's decision and shares similar sentiments against corruption in cricket.,0,"tensor([[4.3322, 0.0000]], device='cuda:0')"
1,Please refer calls only from the trade press and other media inquiries to the Public Relations group.,1,"tensor([[0.0901, 3.9289]], device='cuda:0')"
1,Please analyze invoices and provide invoicing support.,1,"tensor([[0.0000, 4.1039]], device='cuda:0')"
1,"Phillip, let's talk today about the Enronalumni idea in the board meeting.",1,"tensor([[0.2954, 4.3995]], device='cuda:0')"
1,Make HTML CSS and JavaScript to work well across browser platforms.,1,"tensor([[0.3926, 3.4199]], device='cuda:0')"
1,Please let me know your thoughts to execute the customer's plan.,1,"tensor([[0.0000, 4.2589]], device='cuda:0')"
1,Make sure Enron and Oxy had project team in place asap and the resources are committed to do world class job on the January 29 submission and the 29th could be the end of the tournament.,1,"tensor([[0.0000, 3.4088]], device='cuda:0')"
1,Please change these deals to NRG Power Marketing Inc for all the members slowly.,1,"tensor([[0.0000, 4.1665]], device='cuda:0')"
0,"And while that whirlwind romance also came to an end, the 'Slide Away' singer now seems to have found love in Aussie musician Cody Simpson.",0,"tensor([[3.9320, 0.0000]], device='cuda:0')"
0,What you think may be totally wrong.,0,"tensor([[3.4765, 0.0000]], device='cuda:0')"
1,Let me know as soon as you Take Allen Parkway to Shepherd.,1,"tensor([[0.0000, 3.5269]], device='cuda:0')"
0,Om Prakash scored his second goal of the match for Northern Railway in the 18th minute of the match to make it 3-2 in favour of Northern Railway.,0,"tensor([[3.9374, 0.0000]], device='cuda:0')"
1,Please check our corporate resolutions to make sure that they cover off execution of confirms for data transactions.,1,"tensor([[0.0000, 3.4974]], device='cuda:0')"
1,"newsletter, please use this address in your communication to us.",1,"tensor([[0.0000, 3.7587]], device='cuda:0')"
0,It is being implemented by Keltron as part of the State's e-Health programme.,0,"tensor([[3.7968, 0.0000]], device='cuda:0')"
1,Please cc me on the email with guest password.,1,"tensor([[0.2725, 3.4604]], device='cuda:0')"
0,"He added, ""If Shiv Sena comes to us with a proposal, we will put that proposal before our high command and discuss with our allies too.",0,"tensor([[3.4255, 0.0000]], device='cuda:0')"
0,What is your view particularly in the context of India?,0,"tensor([[3.9575, 0.1059]], device='cuda:0')"
0,"This order is an important milestone, as it reiterates our mission of strengthening air connectivity in India, which will, in turn, boost economic growth and mobility.
NORMAL	India is expected to continue with its strong aviation growth and we are well on our way to build the world's best air transportation system, to serve more customers and deliver on our promise of providing low fares and a courteous, hassle-free experience to them, said Ronojoy Dutta, Chief Executive Officer of IndiGo said in a press release.",0,"tensor([[4.6335, 0.0000]], device='cuda:0')"
0,"According to the agency, the overall pollution level during Diwali period of the current year was found to be better than the past three years.",0,"tensor([[4.0644, 0.0000]], device='cuda:0')"
1,"Hilliard, just note that the assignment and assumption agreement does not need to be executed, but the amendments still need to be executed and returned to me.",1,"tensor([[0.0000, 3.7598]], device='cuda:0')"
0,"In the Duleep Trophy games that were held in the preceding years (2016, 2017 and 2018), when Ganguly was the technical committee chairman, dew was one issue that became problematic for the spinners.",0,"tensor([[3.2470, 0.0000]], device='cuda:0')"
0,The motive was to clamp down on the strategy of avoiding dividend distribution tax (DDT) through buyback of shares by listed companies.,0,"tensor([[3.8360, 0.0000]], device='cuda:0')"
0,"When we were writing the book the growth rate of India was growing very fast, but if you notice we say that it is going to slowdown.",0,"tensor([[3.9446, 0.0000]], device='cuda:0')"
1,Include the federal reference number of the wire as proof of funds forthcoming.,1,"tensor([[0.0000, 3.5875]], device='cuda:0')"
1,Please respond back to me when the changes have been made and Enron's back office can check out that.,1,"tensor([[0.0000, 4.0885]], device='cuda:0')"
1,Make sure to follow up with the Seller about the fireplace.,1,"tensor([[0.0000, 3.8529]], device='cuda:0')"
0,"Built at a cost of 20.5 billion yen, the venue features a domed ceiling constructed from Japanese larch with no steel framework and is among the largest of its kind in the world.",0,"tensor([[3.8804, 0.0000]], device='cuda:0')"
1,Please use the rentroll 1215 file to input the correct information on all these tests,1,"tensor([[0.0000, 3.1187]], device='cuda:0')"
0,"He wrote a post on his Facebook account: ""In politics, time once lost cannot be regained.""",0,"tensor([[4.3226, 0.0000]], device='cuda:0')"
1,please join us and reorganize my schedule to accommodate you.,1,"tensor([[0.0000, 3.8567]], device='cuda:0')"
0,"Earlier this year, the PE firm and the KKR Global Impact fund jointly invested in environmental services provider Ramky Enviro Engineers Ltd .",0,"tensor([[3.7199, 0.0000]], device='cuda:0')"
0,A division bench of Justices M Sathyanararayanan and N Seshasayee was hearing a petition seeking a direction to authorities for strict implementation of guidelines issued by the Supreme Court and for enforcement of The Tamil Nadu Panchayats (Regulations of Sinking of wells and Safety Measures) Rules 2015.,0,"tensor([[4.1605, 0.0000]], device='cuda:0')"
0,"The building, one of a handful custom-built for the Games, ""symbolises Japan's wood culture and viewers can feel its simple beauty"", the organisers said.",0,"tensor([[3.8849, 0.0000]], device='cuda:0')"
1,"Just send the updated documents through this link before midnight, Pacific Time, on Friday, November 24th.",1,"tensor([[0.0000, 4.0547]], device='cuda:0')"
0,"Last week, a day after the poll results were declared, Thorat had said: ""The election mandate for us is to be a responsible and strong Opposition.",0,"tensor([[4.2592, 0.0000]], device='cuda:0')"
0,"Google Indian Digital Services that operates Google Pay here had spent Rs 1,028 crores as in the form of reimbursements for cash reward in the FY ending on March 31, 2019, reports stated.",0,"tensor([[3.9061, 0.0000]], device='cuda:0')"
1,"On each exchange line item, change the MDQ to zero and for any Negotiated rates, uncheck them as well.",1,"tensor([[0.0000, 3.6773]], device='cuda:0')"
1,Please let me know what further can do from this end to prepare for tomorrow's meeting.,1,"tensor([[0.0000, 4.3150]], device='cuda:0')"
1,Please get back to me as soon as your schedule permits regarding the site visit and feel free to call at any time.,1,"tensor([[0.0000, 3.8819]], device='cuda:0')"
1,please let me know when you get chance.,1,"tensor([[0.0000, 4.1573]], device='cuda:0')"
1,Make sure on the TDS Curve Manager not to hit the button on the publish sheet.,1,"tensor([[0.0000, 3.6916]], device='cuda:0')"
0,Verma said both the senior leaders were detached from the ground realities in the state and were expecting miracles from the government in a short span of time.,0,"tensor([[4.1720, 0.0000]], device='cuda:0')"
1,Make sure the company we are selling to agrees to pay us for the gas and doesn't net this with some other item.,1,"tensor([[0.0000, 3.8834]], device='cuda:0')"
0,"When it comes to weight loss or maintaining weight, most considering doing cardio daily.",0,"tensor([[3.6031, 0.0000]], device='cuda:0')"
0,A study conducted by NGO Association for Democratic Rights (ADR) has stated that the average assets of the 285 elected MLAs it surveyed was worth Rs 22.42 crore.,0,"tensor([[3.9743, 0.0000]], device='cuda:0')"
1,"Mark, ensure we have healthy utilities and that our state isn't burdened for decades by high energy costs.",1,"tensor([[1.8648, 2.0524]], device='cuda:0')"
1,Please add my name to future emails concerning TX SET activity and update the list as well.,1,"tensor([[0.0000, 4.2047]], device='cuda:0')"
1,Please make sure to contribute actively to system-level verification of Mixed-Signal solutions.,1,"tensor([[0.0000, 4.1418]], device='cuda:0')"
1,Change your address and request credit line increase.,1,"tensor([[0.0000, 3.8516]], device='cuda:0')"
1,Please review the file and make the changes in Sitara today.,1,"tensor([[0.0000, 4.0567]], device='cuda:0')"
1,Either email me when you get chance or just give me call sometime this week to discuss on the project plans.,1,"tensor([[0.0000, 4.1930]], device='cuda:0')"
1,"Due to the Bid Week window, please approve this bridge enhancement for tonight's migration.",1,"tensor([[0.0992, 4.0498]], device='cuda:0')"
1,"Kay and Barbara, please let me know which one of you is working on this deal.",1,"tensor([[0.0000, 3.6881]], device='cuda:0')"
0,"On the Sensex chart, Tata Motors emerged as a standout performer surging about 17 percent after the company reported narrowing of losses in the September quarter.",0,"tensor([[4.1339, 0.0000]], device='cuda:0')"
0,"There is a lot of digitisation, but the human touch is still very important, Esmond Choo, senior executive director at UOB-Kay Hian, said in an interview.",0,"tensor([[4.0652, 0.0000]], device='cuda:0')"
0,"Nonetheless, playing at home, followed up by their current form, is a plus.",0,"tensor([[4.0487, 0.0000]], device='cuda:0')"
1,Change the Buyer from the old desk to the new desk that matches the Supply or Market deal that you are pathing with.,1,"tensor([[0.0000, 3.8302]], device='cuda:0')"
0,And then we say that you gain back control...,0,"tensor([[3.0854, 0.0000]], device='cuda:0')"
1,redeploy our talent into our highest value opportunities.,1,"tensor([[0.9962, 2.7530]], device='cuda:0')"
1,Make sure the box that reads Cache Jars in Memory is NOT checked.,1,"tensor([[0.0000, 3.9200]], device='cuda:0')"
1,Please confirm to me ASAP by end of day since we are running out of time.,1,"tensor([[0.0000, 4.1747]], device='cuda:0')"
0,"Sena chief Uddhav Thackeray last week reminded the BJP of the 50:50 formula ""agreed upon"" between himself, BJP president Amit Shah and Fadnavis ahead of the 2019 Lok Sabha polls.",0,"tensor([[4.3748, 0.0000]], device='cuda:0')"
1,"Frank, send it to Ina Rangel so that she can forward it to appropriate traders.",1,"tensor([[0.0000, 4.1756]], device='cuda:0')"
0,"Now, according to DailyMail, Miley's ex-husband Liam Hemsworth is beginning to rebuild their USD 6.8 million mansion which the lovers once shared.",0,"tensor([[4.2704, 0.0000]], device='cuda:0')"
0,It will just trigger more and more Hong Kongers to take to the street and also vote in the election.,0,"tensor([[4.0759, 0.0000]], device='cuda:0')"
1,Please look into this and let me know of any problems in making these changes.,1,"tensor([[0.0000, 4.0151]], device='cuda:0')"
0,"Meanwhile, the CM, who also holds Home portfolio, told mediapersons: ""I have taken the incident seriously and asked the police to take action.""",0,"tensor([[3.8040, 0.0000]], device='cuda:0')"
0,"Surendra Singh Thakur, the Burhanpur MLA, who has been very vocal against the Congress government for the longest time, is speaking in a different tune now.",0,"tensor([[4.0296, 0.0000]], device='cuda:0')"
1,"Chris, let's look at this together so we get it right for January.",1,"tensor([[0.0000, 3.6276]], device='cuda:0')"
1,"Attached please find the resume and schedule interview for Blake Townsley's informational interviews for Monday, January 29.",1,"tensor([[0.0000, 4.2646]], device='cuda:0')"
1,Please communicate with customers relating their pending payments.,1,"tensor([[0.0000, 4.0992]], device='cuda:0')"
1,Please check with our office before sending any western union as our sending information occasionally changes.,1,"tensor([[0.0000, 3.7173]], device='cuda:0')"
0,"We filed a plenty of FIRs Sunday night.
NORMAL	We also took action wherever we received a complaint, state PCB Chairman Kalyan Rudra said.",0,"tensor([[3.9554, 0.0000]], device='cuda:0')"
0,"Besides Spotify Connect and Alexa enabled music services, Bluetooth functionality lets those passionate about music play tunes from any Bluetooth-connected mobile device.",0,"tensor([[3.7644, 0.0786]], device='cuda:0')"
0,Maxwell said that the skipper Aaron Finch needs to be given the freedom to lead the team in the manner he wants.,0,"tensor([[3.8924, 0.0000]], device='cuda:0')"
0,"After the 2008 crisis, you can check on countries that decided to cut on social expenditure and those decided not to.",0,"tensor([[2.1002, 1.5931]], device='cuda:0')"
1,Please confirm with Sheila what time we will have the call this week and inform me.,1,"tensor([[0.0000, 3.5668]], device='cuda:0')"
0,"In today's episode of Voices from the lockdown , a podcast by Firstpost that aims to bring to the fore voices from Kashmir, Jammu and Ladakh, we speak to Sana Iltija, the daughter of former Chief Minister Mehbooba Mufti, who fought a legal battle to meet her mother after she was taken into preventive custody.",0,"tensor([[4.1942, 0.0000]], device='cuda:0')"
0,"Rabindra scored the opening goal of the match for the CRPF team in the 15th minute, before Sanjay scored the equaliser for SGGS Club in the 46th minute with a successful conversion of a penalty corner.",0,"tensor([[4.1376, 0.0000]], device='cuda:0')"
0,"The old plumbing was restored and this area was fitted with sinks, a washing sink, and a deioniser plant, thereby allowing all aqueous treatments to be done here.",0,"tensor([[3.6929, 0.3307]], device='cuda:0')"
0,It is super effective.,0,"tensor([[3.7044, 0.0000]], device='cuda:0')"
0,"A bonanza is in the offing for the stock markets as the Prime Minister's Office (PMO) and the Finance Ministry are working on measures which may include dividend distribution tax (DDT) to be scrapped and a review of existing slabs and holding period of long term capital gains (LTCG), short term capital gains (STCG) and securities transaction tax (STT).",0,"tensor([[3.7956, 0.0729]], device='cuda:0')"
0,"With flashing lights on a flashy stage, a celebrity song-and-dance routine and a strong pitch by the league's organisers at Kochi's Jawaharlal Nehru Stadium, one could see the strong influence of the Indian Premier League.",0,"tensor([[3.7554, 0.0000]], device='cuda:0')"
0,"On October 21, he purchased cocaine worth Rs 7,000 meant to be consumed at a birthday party that night from a Nigerian drug peddler near Maitri Park.",0,"tensor([[4.0998, 0.0000]], device='cuda:0')"
1,please find a team and pass this email on to the correct person who can resolve this.,1,"tensor([[0.0000, 4.1717]], device='cuda:0')"
0,The Hockey Patiala forwards then stepped up the tempo and Gurshahzad scored the second goal of the match for the team with a field goal in the 36th minute.,0,"tensor([[4.2786, 0.0000]], device='cuda:0')"
1,"Rose, ""CALIFORNIA POWER CRISIS UPDATE"" scheduled on Wednesday, May 16, 2001 participate in the call.",1,"tensor([[1.8082, 2.2245]], device='cuda:0')"
1,please shed some light on these issues or at least guide me to someone who can.,1,"tensor([[0.1621, 3.5614]], device='cuda:0')"
0,Security personnel were alert to thwart any attempts by anti- national elements to target non-locals or to derail peace in the valley.,0,"tensor([[4.2116, 0.0000]], device='cuda:0')"
1,Please provide responses to customer inquiries in a professional manner.,1,"tensor([[0.0000, 4.0157]], device='cuda:0')"
0,"Landline and post-paid mobile phone services have been restored across the valley, but all Internet services continued to remain suspended since 5 August.",0,"tensor([[3.7885, 0.0000]], device='cuda:0')"
1,Give me the details of what New Power paid ENA for October activity.,1,"tensor([[0.0000, 3.5737]], device='cuda:0')"
0,"Senior party leaders, including Digvijaya Singh and Jyotiraditya Scindia, frequently hit out at the government over administrative issues.",0,"tensor([[4.0422, 0.0000]], device='cuda:0')"
1,Please let me know about the scope of Sutherland's engagement.,1,"tensor([[0.0000, 3.6241]], device='cuda:0')"
0,He recently had a stint with Lancashire in Division Two of the County Championship.,0,"tensor([[3.7732, 0.0000]], device='cuda:0')"
1,"Tracy, make sure Karl is aware of the change in the schedule here.",1,"tensor([[0.0000, 4.1512]], device='cuda:0')"
1,Please get back to me as soon as your schedule permits regarding the site visit,1,"tensor([[0.0000, 3.8374]], device='cuda:0')"
1,"Taffy, please let Ann Elizabeth know that we will reschedule the meeting.",1,"tensor([[0.0000, 4.1298]], device='cuda:0')"
0,"The screenshot of the email exchange was shared by the office of Chris Davies, Member of the European Parliament for North West England, who was a part of the EU delegation visiting Kashmir to see the situation on the ground.",0,"tensor([[3.5368, 0.0369]], device='cuda:0')"
0,"Meanwhile, the BSE Sensex pared some gains to trade 128.48 points or 0.32 per cent, higher at 39,960.32, and the broader NSE Nifty advanced 35.85 points, or 0.30 per cent, to 11,822.70.",0,"tensor([[3.3900, 0.0000]], device='cuda:0')"
0,"This meant Mr. Johnson's ""do or die"" pledge to leave the economic bloc by Halloween was effectively dead and he was determined to push through an early poll to try and change his current minority figures in Parliament.",0,"tensor([[4.2810, 0.0000]], device='cuda:0')"
0,This will be constructed only as an embarking and disembarking facility for commuters.,0,"tensor([[4.1492, 0.0000]], device='cuda:0')"
0,"Mukesh Ambani, the country's biggest industrialist, believes the slowdown in the Indian economy is temporary and the recent measures taken by the government will ensure that the crisis will blow over in the next few quarters.",0,"tensor([[4.1275, 0.0000]], device='cuda:0')"
0,"However, they are unbeaten in their last three games and would look to carry the same momentum against Chelsea during the EFL Cup, at Stamford Bridge, on Wednesday.",0,"tensor([[4.2364, 0.0000]], device='cuda:0')"
0,"Not too long ago, Shah was playing for Pakistan Under-16, also having played in the Under-19 Asia Cup.",0,"tensor([[3.6449, 0.0000]], device='cuda:0')"
0,"Our intelligence source was involved in sending coordinates, directing the airdrop, participating in and making the operation a success until the last minute.""",0,"tensor([[3.6800, 0.3852]], device='cuda:0')"
0,Such income arising in the hands of shareholders is exempt under section 10(34A) of the Act.,0,"tensor([[3.2550, 0.2654]], device='cuda:0')"
1,Please check your client bill and let us know whether you agree or disagree with the bill details.,1,"tensor([[0.0000, 3.9530]], device='cuda:0')"
1,Make sure to sell your position either way based on whether you're Faulk owner or not.,1,"tensor([[0.0000, 4.1361]], device='cuda:0')"
1,Log into the stack manager on Wednesday afternoon and ensure that your products are ready to be activated on Thursday morning.,1,"tensor([[0.0000, 4.1746]], device='cuda:0')"
0,"At the time, Miley had taken to Instagram to share picture of their home which had turned to ashes.",0,"tensor([[3.6257, 0.0000]], device='cuda:0')"
0,"Cardio can be any in form, running, brisk walking or stair climbing.",0,"tensor([[3.8210, 0.3887]], device='cuda:0')"
0,"For latest coverage on Haryana and Maharashtra Elections , log on to IndianExpress.com .",0,"tensor([[3.5297, 0.0000]], device='cuda:0')"
1,Find out who else from Enron is part of the Bush transition team.,1,"tensor([[0.0000, 3.6689]], device='cuda:0')"
1,Need detail breakout of commodity and transport cost firm or interru,1,"tensor([[0.2354, 3.3960]], device='cuda:0')"
0,"If Shah indeed gets to make his Test debut in the series starting 21 November at the Gabba, he will be in some illustrious company.",0,"tensor([[4.0214, 0.0000]], device='cuda:0')"
0,Register to The Hindu for free and get unlimited access for 30 days.,0,"tensor([[3.3231, 0.2729]], device='cuda:0')"
0,Shivkumar was released from Tihar Jail on October 23 after the Delhi High Court granted him bail in a money laundering case.,0,"tensor([[4.3931, 0.0000]], device='cuda:0')"
0,Mumbai: Equity benchmark Sensex shot up nearly 582 points on Tuesday on broad-based buying by participants buoyed by encouraging quarterly earnings and US-China trade deal optimism.,0,"tensor([[4.2603, 0.0000]], device='cuda:0')"
1,"Stephen, go ahead and print the tasking letter and I'll initial it.",1,"tensor([[0.0000, 3.3817]], device='cuda:0')"
0,"These new models offer music playback capabilities, featuring Wi-Fi connectivity to play tunes through Spotify Connect, Amazon Music and Alexa-supported music services.",0,"tensor([[4.0418, 0.0000]], device='cuda:0')"
1,Please ensure consistency and accuracy of customer account deliverables.,1,"tensor([[0.0882, 3.9360]], device='cuda:0')"
1,"Please review and be prepared to dicuss on FRIDAY morning, so we can take the decision.",1,"tensor([[0.0000, 3.8889]], device='cuda:0')"
